No	lscores	gscores
0	1.9871	0.2468
1	51.4630	6.3929
2	10.9027	1.3544
3	39.6102	4.9205
4	40.6298	5.0472
5	8.8995	1.1055
6	15.8314	1.9666
7	24.7549	3.0751
8	15.8526	1.9693
9	7.9140	0.9831
10	10.9095	1.3552
11	43.6068	5.4170
12	14.8598	1.8459
13	19.7633	2.4551
14	15.8498	1.9689
15	13.8580	1.7215
16	11.8751	1.4752
17	15.8175	1.9649
18	13.8328	1.7184
19	31.6428	3.9308
20	4.9376	0.6134
21	26.7659	3.3250
22	23.8002	2.9566
23	5.9414	0.7381
24	11.8813	1.4759
25	26.7774	3.3264
26	13.8721	1.7232
27	12.8623	1.5978
28	10.8788	1.3514
29	11.9010	1.4784
30	12.8661	1.5983
31	42.5793	5.2894
32	25.7588	3.1998
33	10.8517	1.3480
34	4.9503	0.6149
35	8.9358	1.1100
36	11.8487	1.4719
37	11.8778	1.4755
38	11.8489	1.4719
39	9.8740	1.2266
40	7.9068	0.9822
41	10.8922	1.3531
42	14.8300	1.8422
43	6.9384	0.8619
44	13.8682	1.7228
45	5.9420	0.7381
46	15.8551	1.9696
47	10.9017	1.3542
48	12.8747	1.5993
49	5.9188	0.7352
50	7.9374	0.9860
51	6.9290	0.8607
52	18.8385	2.3402
53	18.8018	2.3356
54	10.9173	1.3562
55	8.9375	1.1102
56	23.7654	2.9522
57	5.9441	0.7384
58	7.9156	0.9833
59	5.9567	0.7400
60	7.9454	0.9870
61	18.7973	2.3351
62	9.9148	1.2317
63	12.8652	1.5982
64	11.9058	1.4790
65	6.9340	0.8614
66	12.8924	1.6015
67	21.8148	2.7099
68	17.8281	2.2147
69	11.8719	1.4748
70	12.8931	1.6016
71	9.8901	1.2286
72	29.7231	3.6923
73	56.4079	7.0072
74	13.9024	1.7270
75	6.9341	0.8614
76	8.9410	1.1107
77	7.9490	0.9875
78	9.8858	1.2281
79	12.8865	1.6008
80	10.9040	1.3545
81	9.8803	1.2274
82	12.8811	1.6001
83	13.8547	1.7211
84	12.8840	1.6005
85	12.8544	1.5968
86	35.6895	4.4335
87	8.9137	1.1073
88	18.7744	2.3322
89	9.8995	1.2298
90	9.8719	1.2263
91	12.8642	1.5980
92	32.6475	4.0556
93	15.8030	1.9631
94	13.8975	1.7264
95	9.8930	1.2289
96	7.9035	0.9818
97	5.9207	0.7355
98	4.9428	0.6140
99	12.8755	1.5994
100	16.8878	2.0979
101	12.8794	1.5999
102	24.7152	3.0702
103	17.8446	2.2167
104	9.8937	1.2290
105	8.9177	1.1078
106	11.8464	1.4716
107	13.8570	1.7214
108	16.7836	2.0849
109	14.8669	1.8468
110	12.8605	1.5976
111	18.8029	2.3358
112	4.9381	0.6134
113	4.9416	0.6139
114	6.9466	0.8629
115	7.9060	0.9821
116	13.8620	1.7220
117	3.9514	0.4909
118	21.8139	2.7098
119	14.8433	1.8439
120	21.8125	2.7096
121	18.8429	2.3407
122	7.9278	0.9848
123	8.8916	1.1045
124	53.5603	6.6535
125	25.6841	3.1906
126	27.6848	3.4391
127	24.7436	3.0737
128	11.9262	1.4815
129	21.7988	2.7079
130	11.8724	1.4748
131	11.8675	1.4742
132	19.8038	2.4601
133	22.7732	2.8290
134	9.9007	1.2299
135	5.9371	0.7375
136	7.9262	0.9846
137	22.7984	2.8321
138	9.8635	1.2253
139	12.8416	1.5952
140	33.6778	4.1836
141	7.9225	0.9842
142	14.8279	1.8420
143	12.8591	1.5974
144	6.9096	0.8583
145	4.9615	0.6163
146	7.8940	0.9806
147	7.9264	0.9846
148	9.8945	1.2291
149	8.8982	1.1054
150	4.9518	0.6151
151	12.8870	1.6009
152	5.9560	0.7399
153	18.7853	2.3336
154	17.8536	2.2178
155	3.9832	0.4948
156	4.9564	0.6157
157	4.9703	0.6174
158	9.9136	1.2315
159	17.8362	2.2157
160	15.8665	1.9710
161	5.9588	0.7402
162	11.8944	1.4776
163	7.9100	0.9826
164	11.9014	1.4784
165	12.8377	1.5947
166	23.7552	2.9510
167	14.8896	1.8496
168	33.6482	4.1799
169	16.8417	2.0921
170	26.6764	3.3138
171	15.8254	1.9659
172	7.9176	0.9836
173	9.8968	1.2294
174	8.9008	1.1057
175	16.7752	2.0839
176	13.8618	1.7220
177	10.8901	1.3528
178	7.9184	0.9836
179	38.6409	4.8001
180	9.9183	1.2321
181	15.8440	1.9682
182	24.8006	3.0808
183	21.8608	2.7156
184	44.5836	5.5383
185	13.8753	1.7236
186	26.7896	3.3279
187	47.4978	5.9003
188	14.8524	1.8450
189	6.9164	0.8592
190	21.8030	2.7084
191	12.8601	1.5975
192	30.7117	3.8151
193	29.7474	3.6953
194	20.8267	2.5872
195	37.7177	4.6854
196	22.8647	2.8403
197	23.7337	2.9483
198	16.8318	2.0909
199	36.6833	4.5569
200	14.8652	1.8466
201	73.3065	9.1064
202	7.9121	0.9829
203	21.8033	2.7085
204	4.9510	0.6150
205	4.9289	0.6123
206	11.8514	1.4722
207	8.9140	1.1073
208	6.9122	0.8587
209	16.8700	2.0957
210	34.6151	4.3000
211	7.9315	0.9853
212	11.8610	1.4734
213	13.8709	1.7231
214	22.7920	2.8313
215	8.9026	1.1059
216	13.8509	1.7206
217	92.0591	11.4359
218	16.8363	2.0915
219	17.8304	2.2150
220	14.8379	1.8432
221	33.6824	4.1842
222	11.8925	1.4773
223	8.8915	1.1045
224	9.8917	1.2288
225	13.8402	1.7193
226	7.9222	0.9841
227	23.8237	2.9595
228	15.8399	1.9677
229	28.7664	3.5735
230	5.9699	0.7416
231	14.8246	1.8416
232	99.0685	12.3066
233	17.8318	2.2151
234	20.7870	2.5822
235	10.8929	1.3532
236	11.9005	1.4783
237	36.6393	4.5515
238	14.8315	1.8424
239	11.8855	1.4765
240	25.6994	3.1925
241	11.8509	1.4722
242	5.9402	0.7379
243	7.9198	0.9838
244	8.8966	1.1052
245	22.7891	2.8309
246	31.6683	3.9339
247	11.8934	1.4774
248	8.8883	1.1041
249	25.7608	3.2001
250	18.8696	2.3440
251	17.8407	2.2162
252	20.7797	2.5813
253	18.8397	2.3403
254	15.8486	1.9688
255	4.9598	0.6161
256	11.8473	1.4717
257	9.8836	1.2278
258	13.8203	1.7168
259	31.6665	3.9337
260	4.9556	0.6156
261	30.7344	3.8179
262	6.9728	0.8662
263	14.8593	1.8459
264	19.8302	2.4634
265	43.6045	5.4167
266	16.7954	2.0864
267	45.5452	5.6578
268	8.9074	1.1065
269	6.9110	0.8585
270	11.8928	1.4774
271	6.9451	0.8627
272	27.7773	3.4506
273	9.8950	1.2292
274	9.8834	1.2277
275	7.9404	0.9864
276	19.7895	2.4583
277	11.8876	1.4767
278	12.9233	1.6054
279	6.9391	0.8620
280	18.8246	2.3385
281	9.8794	1.2272
282	8.9148	1.1074
283	34.6771	4.3077
284	9.8987	1.2296
285	17.7955	2.2106
286	29.6678	3.6854
287	20.8070	2.5847
288	31.6899	3.9366
289	22.8099	2.8335
290	11.8940	1.4775
291	9.9362	1.2343
292	10.8940	1.3533
293	6.9493	0.8633
294	11.8977	1.4780
295	9.8732	1.2265
296	15.8296	1.9664
297	13.8717	1.7232
298	15.8964	1.9747
299	17.8603	2.2187
300	6.9197	0.8596
301	18.8261	2.3387
302	10.9036	1.3545
303	30.6904	3.8125
304	13.8808	1.7243
305	31.7238	3.9409
306	25.7709	3.2014
307	7.9402	0.9864
308	16.8097	2.0882
309	5.9804	0.7429
310	8.9190	1.1080
311	26.7813	3.3269
312	11.8736	1.4750
313	12.8371	1.5947
314	12.8622	1.5978
315	11.8785	1.4756
316	13.8706	1.7231
317	11.8259	1.4691
318	16.8334	2.0911
319	15.7878	1.9612
320	15.8050	1.9634
321	16.8503	2.0932
322	20.8140	2.5856
323	10.8839	1.3520
324	18.7895	2.3341
325	9.8868	1.2282
326	19.8438	2.4651
327	7.9358	0.9858
328	13.8381	1.7190
329	19.7840	2.4576
330	16.8039	2.0874
331	16.8341	2.0912
332	22.7668	2.8282
333	7.9521	0.9878
334	6.9080	0.8581
335	6.9427	0.8624
336	17.8727	2.2202
337	14.8464	1.8443
338	13.8692	1.7229
339	22.7467	2.8257
340	8.8949	1.1050
341	5.9405	0.7380
342	9.8954	1.2292
343	6.9540	0.8639
344	34.6433	4.3035
345	10.9091	1.3552
346	7.9130	0.9830
347	24.7253	3.0715
348	29.7172	3.6916
349	15.8478	1.9687
350	7.8933	0.9805
351	18.8251	2.3385
352	21.7647	2.7037
353	34.6281	4.3016
354	15.8455	1.9684
355	17.8187	2.2135
356	10.8905	1.3529
357	14.8530	1.8451
358	27.7156	3.4429
359	8.9359	1.1101
360	12.8991	1.6024
361	41.5598	5.1627
362	11.8943	1.4776
363	13.8534	1.7209
364	32.6890	4.0607
365	10.8890	1.3527
366	15.8195	1.9651
367	27.7330	3.4451
368	28.7128	3.5668
369	23.7369	2.9487
370	8.8855	1.1038
371	43.5023	5.4040
372	23.7048	2.9447
373	21.7767	2.7052
374	7.9175	0.9835
375	9.8892	1.2285
376	7.8993	0.9813
377	18.8275	2.3388
378	10.9036	1.3545
379	7.9253	0.9845
380	21.7597	2.7031
381	19.7883	2.4582
382	12.8579	1.5973
383	11.9090	1.4794
384	8.8946	1.1049
385	6.9479	0.8631
386	7.9043	0.9819
387	6.9246	0.8602
388	9.9018	1.2300
389	15.8292	1.9664
390	10.9049	1.3546
391	7.9397	0.9863
392	5.9738	0.7421
393	14.8564	1.8455
394	15.8047	1.9633
395	31.7042	3.9384
396	9.9196	1.2322
397	11.8904	1.4771
398	20.7728	2.5805
399	9.8945	1.2291
400	18.7946	2.3347
401	33.6327	4.1780
402	21.8017	2.7083
403	12.8810	1.6001
404	9.8866	1.2281
405	8.9161	1.1076
406	33.6939	4.1856
407	12.8917	1.6015
408	4.9588	0.6160
409	19.8005	2.4597
410	6.9118	0.8586
411	11.8850	1.4764
412	16.8566	2.0940
413	22.7581	2.8271
414	13.8483	1.7203
415	35.6354	4.4268
416	15.8551	1.9696
417	10.9064	1.3548
418	13.8934	1.7259
419	5.9499	0.7391
420	8.8908	1.1044
421	11.8605	1.4734
422	32.6533	4.0563
423	25.7408	3.1976
424	11.8881	1.4768
425	9.8884	1.2284
426	28.7183	3.5675
427	5.9548	0.7397
428	14.8541	1.8452
429	14.8511	1.8449
430	7.9083	0.9824
431	16.8342	2.0912
432	7.9440	0.9868
433	15.8598	1.9702
434	33.6730	4.1830
435	10.9183	1.3563
436	39.6214	4.9219
437	10.8928	1.3531
438	30.6879	3.8122
439	2.9721	0.3692
440	24.7935	3.0799
441	10.9026	1.3544
442	5.9309	0.7368
443	29.7003	3.6895
444	12.9305	1.6063
445	30.6894	3.8123
446	9.8939	1.2291
447	46.5830	5.7867
448	5.9431	0.7383
449	10.8930	1.3532
450	23.7242	2.9471
451	6.9292	0.8608
452	22.8062	2.8331
453	17.7938	2.2104
454	21.7932	2.7072
455	7.9175	0.9835
456	15.8695	1.9714
457	40.6330	5.0476
458	23.7774	2.9537
459	12.8752	1.5994
460	60.4235	7.5060
461	3.9572	0.4916
462	3.9718	0.4934
463	6.9472	0.8630
464	11.9144	1.4800
465	47.4852	5.8988
466	10.8689	1.3502
467	11.8670	1.4742
468	42.6129	5.2935
469	17.8491	2.2173
470	12.8800	1.6000
471	9.8614	1.2250
472	30.7306	3.8175
473	10.9158	1.3560
474	7.9050	0.9820
475	12.8533	1.5967
476	10.9187	1.3564
477	10.9004	1.3541
478	25.7587	3.1998
479	11.8914	1.4772
480	33.7071	4.1872
481	26.7832	3.3271
482	10.9306	1.3578
483	4.9531	0.6153
484	10.8972	1.3537
485	8.9045	1.1062
486	11.8825	1.4761
487	6.9341	0.8614
488	11.8871	1.4767
489	5.9435	0.7383
490	42.5480	5.2855
491	8.8745	1.1024
492	20.8536	2.5905
493	9.9158	1.2318
494	8.9418	1.1108
495	8.9099	1.1068
496	5.9429	0.7383
497	6.9268	0.8605
498	26.7261	3.3200
499	20.8246	2.5869
500	10.8683	1.3501
501	13.8797	1.7242
502	16.8272	2.0903
503	24.7446	3.0739
504	20.7566	2.5785
505	46.5246	5.7795
506	11.8934	1.4774
507	13.8370	1.7189
508	7.9469	0.9872
509	70.2980	8.7327
510	46.6291	5.7924
511	13.8992	1.7266
512	48.5364	6.0294
513	22.7648	2.8279
514	38.6028	4.7954
515	12.8390	1.5949
516	5.9543	0.7397
517	12.8599	1.5975
518	9.9156	1.2318
519	24.7300	3.0721
520	11.8746	1.4751
521	44.5744	5.5372
522	12.8974	1.6022
523	17.8125	2.2127
524	13.8854	1.7249
525	7.9027	0.9817
526	15.8523	1.9692
527	8.9174	1.1077
528	18.8308	2.3392
529	27.7482	3.4470
530	15.8302	1.9665
531	14.8774	1.8481
532	8.9036	1.1060
533	8.9202	1.1081
534	31.7261	3.9411
535	8.9088	1.1067
536	10.8906	1.3529
537	12.8676	1.5985
538	17.8253	2.2143
539	13.8604	1.7218
540	9.9110	1.2312
541	6.9349	0.8615
542	10.8513	1.3480
543	10.8894	1.3527
544	36.6522	4.5531
545	11.8876	1.4767
546	8.9351	1.1100
547	32.6801	4.0596
548	10.8811	1.3517
549	7.9330	0.9855
550	9.9032	1.2302
551	7.9379	0.9861
552	10.9160	1.3560
553	21.8175	2.7103
554	10.8985	1.3539
555	11.8488	1.4719
556	14.8380	1.8432
557	5.9406	0.7380
558	11.8882	1.4768
559	9.9110	1.2312
560	15.8343	1.9670
561	16.8542	2.0937
562	6.9292	0.8608
563	23.7468	2.9499
564	38.6342	4.7993
565	14.8437	1.8439
566	20.7458	2.5771
567	10.9162	1.3561
568	19.7966	2.4592
569	13.8512	1.7206
570	22.8262	2.8356
571	7.9518	0.9878
572	3.9639	0.4924
573	10.8992	1.3539
574	33.6822	4.1841
575	27.7045	3.4416
576	14.8770	1.8481
577	26.7646	3.3248
578	10.9116	1.3555
579	9.9069	1.2307
580	15.8125	1.9643
581	13.9050	1.7273
582	6.9245	0.8602
583	5.9456	0.7386
584	6.9554	0.8640
585	14.8828	1.8488
586	7.9366	0.9859
587	5.9660	0.7411
588	12.8778	1.5997
589	17.8346	2.2155
590	17.8145	2.2130
591	32.6771	4.0593
592	22.7758	2.8293
593	15.8183	1.9650
594	17.7874	2.2096
595	10.8896	1.3527
596	11.8842	1.4763
597	11.8382	1.4706
598	7.9263	0.9846
599	9.8849	1.2279
600	7.9339	0.9856
601	11.8625	1.4736
602	27.7483	3.4470
603	11.8743	1.4751
604	9.8875	1.2283
605	18.7864	2.3337
606	8.8821	1.1034
607	10.8771	1.3512
608	9.9097	1.2310
609	28.7048	3.5658
610	34.6913	4.3095
611	11.8554	1.4727
612	7.8820	0.9791
613	26.7195	3.3192
614	38.6655	4.8032
615	17.8094	2.2123
616	26.7248	3.3198
617	12.8568	1.5971
618	18.8084	2.3364
619	2.9866	0.3710
620	30.6459	3.8069
621	8.8637	1.1011
622	22.8145	2.8341
623	12.8625	1.5978
624	5.9437	0.7383
625	8.9099	1.1068
626	6.9149	0.8590
627	25.6922	3.1916
628	29.7201	3.6919
629	17.7841	2.2092
630	8.9146	1.1074
631	41.5457	5.1610
632	17.8206	2.2137
633	81.1694	10.0832
634	54.4054	6.7584
635	6.9470	0.8630
636	27.7127	3.4426
637	49.5103	6.1503
638	10.9044	1.3546
639	17.8450	2.2168
640	12.8650	1.5981
641	6.9263	0.8604
642	13.8575	1.7214
643	21.8071	2.7090
644	12.8744	1.5993
645	28.6845	3.5633
646	11.8820	1.4760
647	16.8434	2.0923
648	19.7867	2.4580
649	8.9233	1.1085
650	20.7843	2.5819
651	8.9527	1.1121
652	21.7793	2.7055
653	32.6888	4.0607
654	18.8048	2.3360
655	13.8677	1.7227
656	7.9239	0.9843
657	8.9050	1.1062
658	23.7605	2.9516
659	15.8262	1.9660
660	10.9013	1.3542
661	11.8605	1.4733
662	14.8465	1.8443
663	7.9050	0.9820
664	12.9197	1.6049
665	14.8808	1.8485
666	8.9091	1.1067
667	11.8986	1.4781
668	11.8922	1.4773
669	14.7921	1.8375
670	6.9581	0.8644
671	12.8440	1.5955
672	12.8749	1.5994
673	9.8927	1.2289
674	9.8946	1.2291
675	10.9155	1.3560
676	25.7235	3.1955
677	19.7806	2.4572
678	29.7062	3.6902
679	8.9199	1.1081
680	17.8378	2.2159
681	7.9173	0.9835
682	17.8221	2.2139
683	20.8044	2.5844
684	77.1850	9.5882
685	14.8788	1.8483
686	7.9453	0.9870
687	15.8032	1.9631
688	7.8903	0.9802
689	18.7878	2.3339
690	4.9449	0.6143
691	14.8919	1.8499
692	33.6691	4.1825
693	23.7523	2.9506
694	30.6549	3.8081
695	9.8677	1.2258
696	19.7978	2.4594
697	20.7962	2.5834
698	12.8503	1.5963
699	20.8358	2.5883
700	16.8188	2.0893
701	31.6605	3.9330
702	25.7610	3.2001
703	39.5576	4.9140
704	15.8417	1.9679
705	16.8605	2.0945
706	5.9073	0.7338
707	18.8392	2.3403
708	17.7983	2.2110
709	9.9101	1.2311
710	9.9224	1.2326
711	6.9209	0.8597
712	15.8614	1.9704
713	11.8687	1.4744
714	11.8609	1.4734
715	19.7772	2.4568
716	35.6122	4.4239
717	11.8645	1.4739
718	5.9402	0.7379
719	11.8875	1.4767
720	14.8666	1.8468
721	8.9095	1.1068
722	12.8975	1.6022
723	6.9466	0.8629
724	25.7174	3.1947
725	10.8717	1.3505
726	10.8747	1.3509
727	11.8900	1.4770
728	53.4868	6.6443
729	25.7615	3.2002
730	28.7477	3.5711
731	11.8773	1.4754
732	4.9397	0.6136
733	19.8230	2.4625
734	4.9618	0.6164
735	9.9017	1.2300
736	14.8429	1.8438
737	6.9387	0.8620
738	10.8789	1.3514
739	10.8723	1.3506
740	11.8422	1.4711
741	16.8784	2.0967
742	8.9141	1.1073
743	12.8809	1.6001
744	10.8785	1.3514
745	12.8370	1.5947
746	2.9646	0.3683
747	18.8354	2.3398
748	5.9229	0.7358
749	23.7846	2.9546
750	15.8416	1.9679
751	4.9392	0.6136
752	8.9365	1.1101
753	7.9026	0.9817
754	16.8479	2.0929
755	8.9393	1.1105
756	7.9326	0.9854
757	13.8706	1.7231
758	11.8537	1.4725
759	35.6426	4.4276
760	23.8165	2.9586
761	16.8049	2.0876
762	15.8731	1.9718
763	15.8494	1.9689
764	19.8323	2.4636
765	9.8963	1.2294
766	31.6780	3.9351
767	16.8289	2.0906
768	9.9292	1.2334
769	11.8562	1.4728
770	6.9284	0.8607
771	12.8706	1.5988
772	15.8097	1.9639
773	31.6597	3.9329
774	10.8846	1.3521
775	7.9087	0.9824
776	16.8639	2.0949
777	10.9137	1.3557
778	5.9577	0.7401
779	24.7242	3.0713
780	8.9234	1.1085
781	24.7448	3.0739
782	12.8694	1.5987
783	21.7834	2.7060
784	12.8917	1.6015
785	24.7809	3.0784
786	7.9189	0.9837
787	9.9104	1.2311
788	7.8991	0.9813
789	17.8323	2.2152
790	7.8818	0.9791
791	8.9155	1.1075
792	10.8818	1.3518
793	6.9306	0.8609
794	5.9446	0.7385
795	6.9536	0.8638
796	14.8331	1.8426
797	6.9459	0.8628
798	10.9005	1.3541
799	8.9120	1.1071
800	4.9431	0.6141
801	16.8167	2.0890
802	5.9337	0.7371
803	6.9070	0.8580
804	8.8806	1.1032
