No	lscores	gscores
0	0.0000	0.0000
1	0.0000	0.0000
2	37.3144	4.6353
3	1.6158	0.2007
4	0.0000	0.0000
5	0.0000	0.0000
6	0.0000	0.0000
7	43.6174	5.4183
8	14.4263	1.7921
9	87.9318	10.9232
10	13.9507	1.7330
11	38.5078	4.7836
12	0.0000	0.0000
13	43.0381	5.3463
14	84.7106	10.5231
15	0.0000	0.0000
16	63.3586	7.8706
17	0.0000	0.0000
18	0.0000	0.0000
19	64.3388	7.9924
20	18.3492	2.2794
21	0.0000	0.0000
22	65.2702	8.1081
23	0.0000	0.0000
24	18.4005	2.2858
25	119.2174	14.8096
26	16.9556	2.1063
27	35.1227	4.3631
28	66.4437	8.2539
29	77.6448	9.6453
30	62.9791	7.8235
31	68.3529	8.4910
32	0.0000	0.0000
33	51.3428	6.3780
34	46.6042	5.7893
35	0.0000	0.0000
36	78.7840	9.7868
37	89.9782	11.1774
38	0.0000	0.0000
39	0.0000	0.0000
40	0.0000	0.0000
41	0.0000	0.0000
42	0.0000	0.0000
43	16.5640	2.0576
44	8.6687	1.0769
45	0.0000	0.0000
46	0.0000	0.0000
47	34.6761	4.3076
48	0.0000	0.0000
49	0.0000	0.0000
50	58.8214	7.3070
51	39.2223	4.8723
52	103.0198	12.7975
53	76.1983	9.4656
54	0.0000	0.0000
55	21.7487	2.7017
56	47.2752	5.8727
57	24.8629	3.0886
58	59.1667	7.3499
59	73.0868	9.0791
60	26.1626	3.2500
61	0.0000	0.0000
62	24.3851	3.0292
63	13.2187	1.6421
64	52.8291	6.5626
65	0.0000	0.0000
66	0.0000	0.0000
67	64.2915	7.9865
68	0.0000	0.0000
69	62.3150	7.7410
70	41.4598	5.1503
71	21.5853	2.6814
72	0.0000	0.0000
73	0.0000	0.0000
74	78.6747	9.7733
75	44.7780	5.5625
76	3.4070	0.4232
77	233.6479	29.0246
78	48.0518	5.9692
79	33.4487	4.1551
80	0.0000	0.0000
81	102.1934	12.6948
82	88.4193	10.9838
83	30.5959	3.8007
84	17.4490	2.1676
85	5.0367	0.6257
86	0.0000	0.0000
87	71.9615	8.9393
88	0.0000	0.0000
89	53.1367	6.6008
90	0.0000	0.0000
91	0.0000	0.0000
92	129.4793	16.0844
93	103.3622	12.8400
94	42.6158	5.2939
95	19.0495	2.3664
96	0.0000	0.0000
97	21.8695	2.7167
98	54.7199	6.7975
