No	lscores	gscores
0	15.3449	1.9062
1	0.0000	0.0000
2	42.2649	5.2503
3	3.8241	0.4750
4	30.7786	3.8234
5	26.5440	3.2974
6	0.0000	0.0000
7	33.9666	4.2195
8	19.2311	2.3890
9	23.4746	2.9161
10	11.6860	1.4517
11	31.1088	3.8645
12	38.6018	4.7952
13	3.7751	0.4690
14	11.0005	1.3665
15	18.9945	2.3596
16	40.4274	5.0220
17	30.6392	3.8061
18	3.0588	0.3800
19	24.9441	3.0986
20	36.9720	4.5928
21	5.6293	0.6993
22	25.5774	3.1773
23	2.9659	0.3684
24	15.6759	1.9473
25	0.0000	0.0000
26	26.3657	3.2752
27	25.7065	3.1934
28	38.3709	4.7666
29	31.8641	3.9583
30	2.4970	0.3102
31	8.7210	1.0834
32	47.2347	5.8677
33	36.5669	4.5425
34	33.2150	4.1261
35	60.5289	7.5191
36	31.9147	3.9646
37	49.3608	6.1318
38	24.6960	3.0678
39	83.0748	10.3198
40	23.6599	2.9391
41	0.0000	0.0000
42	46.1030	5.7271
43	18.4119	2.2872
44	48.6675	6.0457
45	16.3695	2.0335
46	7.5904	0.9429
47	67.5331	8.3892
48	23.5844	2.9297
49	35.4517	4.4039
50	30.1787	3.7489
51	23.4370	2.9114
52	19.8858	2.4703
53	34.2303	4.2522
54	9.1045	1.1310
55	5.6196	0.6981
56	40.8341	5.0726
57	31.8812	3.9604
58	48.1556	5.9821
59	38.2749	4.7547
60	34.0316	4.2275
61	37.2255	4.6243
62	34.7349	4.3149
63	0.0000	0.0000
64	26.2687	3.2632
65	60.3942	7.5024
66	7.2820	0.9046
67	0.0000	0.0000
68	0.0000	0.0000
69	7.0834	0.8799
70	70.8362	8.7995
71	33.6338	4.1781
72	19.3668	2.4058
73	0.0000	0.0000
74	10.4995	1.3043
75	67.7083	8.4110
76	38.7664	4.8157
77	0.0000	0.0000
78	34.9020	4.3357
79	32.3059	4.0132
80	14.3894	1.7875
81	54.9480	6.8258
82	42.7305	5.3081
83	41.1325	5.1096
84	25.5101	3.1690
85	33.2332	4.1283
86	42.9826	5.3395
87	28.4839	3.5384
88	14.1188	1.7539
89	52.7894	6.5577
90	30.8351	3.8304
91	4.5906	0.5703
92	35.7012	4.4349
93	0.0000	0.0000
94	52.5142	6.5235
95	49.4154	6.1386
96	38.9373	4.8369
97	0.0000	0.0000
98	24.8757	3.0902
99	2.8357	0.3523
100	65.1796	8.0968
101	48.3135	6.0017
102	55.1924	6.8562
103	16.3860	2.0355
104	25.0195	3.1080
105	36.9167	4.5859
106	41.1238	5.1086
107	57.1850	7.1037
108	14.6459	1.8194
109	40.2428	4.9991
110	0.0000	0.0000
111	23.3962	2.9064
112	10.0613	1.2499
113	40.7587	5.0632
114	18.3570	2.2804
115	27.2715	3.3878
116	18.0137	2.2377
117	40.5408	5.0361
118	55.0681	6.8408
119	23.5673	2.9276
120	36.1964	4.4964
121	5.5623	0.6910
122	15.6441	1.9434
123	25.7882	3.2035
124	28.3047	3.5161
125	60.1144	7.4676
126	12.2017	1.5157
127	8.5196	1.0583
128	0.0000	0.0000
129	25.5933	3.1793
130	0.0000	0.0000
131	34.2508	4.2548
132	36.3381	4.5141
133	7.9753	0.9907
134	30.6270	3.8046
135	10.4920	1.3034
136	15.7945	1.9621
137	9.5887	1.1911
138	0.0000	0.0000
139	27.7759	3.4504
140	2.7012	0.3356
141	47.7186	5.9278
142	39.1853	4.8677
143	36.7453	4.5646
144	41.3918	5.1418
145	23.0245	2.8602
146	28.0857	3.4889
147	17.8495	2.2173
148	9.6622	1.2003
149	35.9682	4.4681
150	58.2293	7.2334
151	54.9055	6.8206
152	38.9533	4.8389
153	30.4680	3.7848
154	49.2371	6.1164
155	59.7603	7.4236
156	12.6001	1.5652
157	27.1752	3.3758
158	0.0000	0.0000
159	12.7032	1.5780
160	19.7912	2.4585
161	0.0000	0.0000
162	16.4717	2.0462
163	8.9797	1.1155
164	7.9407	0.9864
165	16.9002	2.0994
166	25.0156	3.1075
167	40.8602	5.0758
168	31.6013	3.9256
169	13.3207	1.6547
170	6.3146	0.7844
171	50.7201	6.3006
172	38.7660	4.8156
173	39.0965	4.8567
174	39.3851	4.8926
175	24.5222	3.0462
176	21.4784	2.6681
177	0.0000	0.0000
178	35.3373	4.3897
179	0.0000	0.0000
180	25.1871	3.1288
181	38.4445	4.7757
182	7.3398	0.9118
183	0.0000	0.0000
184	31.1109	3.8647
185	46.2179	5.7414
186	9.7202	1.2075
187	42.6598	5.2994
188	0.0000	0.0000
189	51.9564	6.4542
190	51.2591	6.3676
191	21.5773	2.6804
192	24.0200	2.9839
193	0.0000	0.0000
194	36.1541	4.4912
195	0.0000	0.0000
196	0.0000	0.0000
197	56.8959	7.0678
198	23.4179	2.9091
199	29.0074	3.6034
200	54.4953	6.7696
201	50.4193	6.2633
202	24.7557	3.0752
203	20.3191	2.5241
204	9.8883	1.2284
205	28.4272	3.5313
206	10.3044	1.2800
207	0.0000	0.0000
208	49.0013	6.0871
209	64.6584	8.0321
210	28.9878	3.6010
211	22.6483	2.8135
212	34.9472	4.3413
213	27.1328	3.3705
214	12.8984	1.6023
215	28.8052	3.5783
216	25.2998	3.1428
217	49.2996	6.1242
218	34.6291	4.3018
219	29.7843	3.6999
220	41.0011	5.0933
221	17.2258	2.1398
222	5.4131	0.6724
223	60.5304	7.5193
224	36.0253	4.4752
225	53.3585	6.6284
226	23.8475	2.9624
227	36.8577	4.5786
228	45.2436	5.6203
229	12.9885	1.6135
230	0.0000	0.0000
231	28.9785	3.5998
232	10.6796	1.3267
233	38.4914	4.7815
234	13.7210	1.7045
235	14.0587	1.7464
236	32.5651	4.0454
237	32.0967	3.9872
238	40.2220	4.9965
239	35.8015	4.4474
240	60.3631	7.4985
241	4.4737	0.5557
242	17.5471	2.1798
243	0.0000	0.0000
244	7.7084	0.9576
245	53.2944	6.6204
246	31.6173	3.9276
247	28.1166	3.4927
248	7.9340	0.9856
249	0.0000	0.0000
250	52.6975	6.5463
251	66.4465	8.2542
252	0.0000	0.0000
253	43.9300	5.4571
254	46.1569	5.7338
255	6.6884	0.8309
256	5.4629	0.6786
257	40.4750	5.0280
258	25.1307	3.1218
259	24.6429	3.0612
260	0.0000	0.0000
261	15.8964	1.9747
262	6.2958	0.7821
263	19.3472	2.4034
264	42.6107	5.2933
265	40.7577	5.0631
266	45.9034	5.7023
267	5.7134	0.7097
268	45.7379	5.6817
269	31.5631	3.9209
270	28.6270	3.5562
271	38.5633	4.7905
272	41.2134	5.1197
273	36.8960	4.5834
274	20.6128	2.5606
275	23.7393	2.9490
276	9.2939	1.1545
277	33.0603	4.1069
278	36.6647	4.5546
279	33.2093	4.1254
280	21.5454	2.6764
281	12.1296	1.5068
282	2.4626	0.3059
283	27.9807	3.4759
284	58.2179	7.2320
285	48.5907	6.0361
286	16.7139	2.0763
287	0.0000	0.0000
288	42.2516	5.2486
289	23.3065	2.8952
290	58.3271	7.2456
291	0.0000	0.0000
292	49.4121	6.1381
293	44.9744	5.5869
294	14.6021	1.8139
295	0.0000	0.0000
296	17.6146	2.1881
297	43.2458	5.3721
298	30.4597	3.7838
299	52.1222	6.4748
300	2.4136	0.2998
301	25.3103	3.1441
302	22.3997	2.7826
303	23.8408	2.9616
304	28.3681	3.5240
305	58.2229	7.2327
306	42.9916	5.3406
307	40.7182	5.0582
308	31.6291	3.9291
309	32.9893	4.0980
310	19.7720	2.4561
311	39.8539	4.9508
312	38.1019	4.7332
313	41.5329	5.1594
314	19.7525	2.4537
315	71.9035	8.9321
316	24.3476	3.0246
317	11.3154	1.4056
318	40.4346	5.0229
319	0.0000	0.0000
320	54.8050	6.8081
321	71.0375	8.8245
322	36.9065	4.5847
323	6.6971	0.8319
324	42.2048	5.2428
325	43.3819	5.3891
326	17.4226	2.1643
327	8.6907	1.0796
328	8.6333	1.0725
329	36.0110	4.4734
330	17.3764	2.1586
331	26.9267	3.3449
332	72.6257	9.0218
333	23.3213	2.8971
334	52.2799	6.4944
335	41.5590	5.1626
336	18.2132	2.2625
337	27.6928	3.4401
338	36.1051	4.4851
339	32.3142	4.0142
340	11.6952	1.4528
341	16.0668	1.9959
342	30.0709	3.7355
343	27.4792	3.4136
344	19.1832	2.3830
345	2.8157	0.3498
346	26.4583	3.2867
347	35.8957	4.4591
348	25.0175	3.1078
349	25.0985	3.1178
350	42.8291	5.3204
351	23.8238	2.9595
352	25.7204	3.1951
353	33.3295	4.1403
354	5.1651	0.6416
355	25.9410	3.2225
356	14.9974	1.8630
357	50.1967	6.2356
358	23.1150	2.8714
359	33.4212	4.1517
360	21.9103	2.7218
361	34.2536	4.2551
362	31.7240	3.9409
363	0.0000	0.0000
364	7.9966	0.9934
365	28.2801	3.5131
366	47.0237	5.8414
367	21.8618	2.7158
368	28.8459	3.5833
369	34.3342	4.2651
370	19.1019	2.3729
371	26.1979	3.2544
372	32.0856	3.9858
373	14.5883	1.8122
374	24.3356	3.0231
375	27.1267	3.3698
376	30.9900	3.8497
377	20.6400	2.5640
378	30.6696	3.8099
379	0.0000	0.0000
380	35.2174	4.3748
381	30.4925	3.7879
382	44.1271	5.4816
383	52.5949	6.5335
384	14.1468	1.7574
385	28.8514	3.5840
386	7.1883	0.8930
387	29.1455	3.6206
388	71.1135	8.8340
389	52.0404	6.4646
390	20.1887	2.5079
391	51.3188	6.3750
392	41.0466	5.0990
393	38.5457	4.7883
394	18.9214	2.3505
395	4.6223	0.5742
396	9.6086	1.1936
397	26.3466	3.2729
398	39.9711	4.9654
399	68.5105	8.5106
400	32.9999	4.0994
401	4.9168	0.6108
402	19.7471	2.4531
403	0.0000	0.0000
404	20.9743	2.6055
405	15.3243	1.9036
406	4.9503	0.6149
407	43.7565	5.4356
408	60.0085	7.4545
409	0.0000	0.0000
410	11.0041	1.3670
411	47.5313	5.9045
412	8.6615	1.0760
413	34.6482	4.3041
414	23.7193	2.9465
415	34.0469	4.2294
416	3.6565	0.4542
417	0.0000	0.0000
418	40.0691	4.9775
419	41.7868	5.1909
420	0.0000	0.0000
421	58.5260	7.2703
422	12.4696	1.5490
423	23.0874	2.8680
424	63.1010	7.8386
425	11.5422	1.4338
426	49.4612	6.1442
427	0.0000	0.0000
428	8.6415	1.0735
429	2.6678	0.3314
430	5.4831	0.6811
431	46.2269	5.7425
432	43.3058	5.3796
433	25.5368	3.1723
434	30.8373	3.8307
435	12.4521	1.5468
436	31.3327	3.8923
437	58.8958	7.3163
438	49.8075	6.1873
439	22.5921	2.8065
440	73.7422	9.1605
441	0.0000	0.0000
442	33.9740	4.2204
443	43.9891	5.4645
444	20.6692	2.5676
445	12.7591	1.5850
446	34.9591	4.3427
447	9.8971	1.2295
448	37.7255	4.6864
449	0.0000	0.0000
450	37.8700	4.7043
451	41.2226	5.1208
452	34.6790	4.3080
453	31.5111	3.9144
454	7.2690	0.9030
455	0.0000	0.0000
456	50.0798	6.2211
457	65.1926	8.0985
458	17.4991	2.1738
459	13.4740	1.6738
460	0.0000	0.0000
461	40.9427	5.0861
462	41.0447	5.0987
463	40.4683	5.0271
464	13.7929	1.7134
465	19.9720	2.4810
466	9.6829	1.2028
467	60.2267	7.4816
468	40.7429	5.0612
469	22.5338	2.7992
470	32.2514	4.0064
471	12.3472	1.5338
472	16.6907	2.0734
473	26.1266	3.2455
474	24.1553	3.0007
475	70.5696	8.7664
476	3.6399	0.4522
477	32.2186	4.0023
478	42.2011	5.2424
479	19.0221	2.3630
480	45.8807	5.6995
481	32.8126	4.0761
482	46.4423	5.7692
483	19.8444	2.4651
484	41.0439	5.0986
485	49.2481	6.1178
486	0.0000	0.0000
487	28.1810	3.5007
488	34.6902	4.3093
489	29.7094	3.6906
490	0.0000	0.0000
491	7.7285	0.9601
492	33.2953	4.1361
493	0.0000	0.0000
494	19.9926	2.4836
495	20.3085	2.5228
496	27.0698	3.3627
497	18.8172	2.3375
498	53.7176	6.6730
499	18.6732	2.3197
500	18.1101	2.2497
501	30.1214	3.7418
502	0.0000	0.0000
503	46.1123	5.7282
504	28.6380	3.5575
505	4.5296	0.5627
506	22.5041	2.7955
507	36.1983	4.4967
508	21.2411	2.6386
509	14.1711	1.7604
510	0.0000	0.0000
511	9.1525	1.1370
512	9.1331	1.1345
513	34.8750	4.3323
514	24.3934	3.0302
515	34.1984	4.2483
516	31.8117	3.9518
517	58.3519	7.2487
518	44.4560	5.5225
519	35.0848	4.3584
520	18.7020	2.3232
521	17.2743	2.1459
522	0.0000	0.0000
523	44.2242	5.4937
524	0.0000	0.0000
525	18.8101	2.3367
526	2.6212	0.3256
527	41.9618	5.2127
528	44.7881	5.5637
529	13.8472	1.7201
530	30.2837	3.7620
531	70.2066	8.7213
532	31.3220	3.8909
533	38.1294	4.7366
534	62.5271	7.7673
535	11.6134	1.4427
536	22.6529	2.8140
537	2.6720	0.3319
538	20.8642	2.5918
539	27.8735	3.4626
540	25.9801	3.2273
541	10.5371	1.3090
542	10.1067	1.2555
543	18.8789	2.3452
544	12.7291	1.5813
545	6.8259	0.8479
546	9.6174	1.1947
547	38.4833	4.7805
548	27.4363	3.4082
549	2.1980	0.2730
550	29.6203	3.6795
551	0.0000	0.0000
552	31.4333	3.9048
553	34.3856	4.2715
554	28.8351	3.5820
555	36.2017	4.4971
556	53.8223	6.6860
557	10.0272	1.2456
558	29.8789	3.7117
559	73.1411	9.0859
560	18.5742	2.3074
561	18.0157	2.2380
562	3.4310	0.4262
563	13.7425	1.7071
564	22.4588	2.7899
565	0.0000	0.0000
