No	lscores	gscores
0	33.1538	4.1185
1	44.6412	5.5455
2	20.5704	2.5553
3	26.8204	3.3317
4	21.1659	2.6293
5	0.0000	0.0000
6	17.2397	2.1416
7	59.6157	7.4057
8	0.0000	0.0000
9	47.9196	5.9527
10	0.0000	0.0000
11	26.5679	3.3004
12	25.7358	3.1970
13	53.5401	6.6509
14	87.1334	10.8240
15	9.8294	1.2210
16	22.6713	2.8163
17	45.1413	5.6076
18	5.7642	0.7161
19	49.1353	6.1038
20	28.6123	3.5543
21	0.0000	0.0000
22	0.0000	0.0000
23	23.6161	2.9337
24	0.0000	0.0000
25	6.7311	0.8362
26	25.8116	3.2064
27	19.4237	2.4129
28	53.8217	6.6859
29	15.1688	1.8843
30	31.0446	3.8565
31	11.5027	1.4289
32	13.5415	1.6822
33	0.0000	0.0000
34	11.5043	1.4291
35	7.5959	0.9436
36	0.0000	0.0000
37	21.7920	2.7071
38	0.0000	0.0000
39	32.1552	3.9944
40	21.0357	2.6131
41	10.8698	1.3503
42	2.2844	0.2838
43	18.0065	2.2368
44	0.0000	0.0000
45	8.3185	1.0334
46	25.3677	3.1513
47	13.1045	1.6279
48	5.5562	0.6902
49	21.7169	2.6977
50	12.7102	1.5789
51	11.3214	1.4064
52	45.3936	5.6390
53	33.3904	4.1479
54	16.2305	2.0162
55	2.8456	0.3535
56	52.3355	6.5013
57	8.4210	1.0461
58	31.1084	3.8644
59	0.0000	0.0000
60	6.6679	0.8283
61	16.0545	1.9944
62	32.6769	4.0592
63	27.9360	3.4703
64	67.8443	8.4279
65	5.9945	0.7447
66	55.3494	6.8757
67	1.9774	0.2456
68	0.0000	0.0000
69	25.8926	3.2165
70	27.0824	3.3643
71	4.5686	0.5675
72	12.4263	1.5436
73	35.8242	4.4502
74	0.0000	0.0000
75	40.5718	5.0400
76	16.7150	2.0764
77	0.0000	0.0000
78	0.0000	0.0000
79	49.3077	6.1252
80	16.1377	2.0047
81	66.9800	8.3205
82	33.4460	4.1548
83	28.8607	3.5852
84	0.0000	0.0000
85	46.1179	5.7289
